Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
bab-dev-cp4i,StatefulSet/apic-dev-a7s-storage,1,0.2250,6.0000,0.2250,6.0000,SHARED
openshift-cluster-csi-drivers,Deployment/azure-disk-csi-driver-controller,2,0.1100,0.3906,0.2200,0.7812,SHARED
bab-dev-observe,StatefulSet/tempo-dev-tempo-ingester,1,0.2160,0.4410,0.2160,0.4410,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-arx22-al,1,0.2000,0.2441,0.2000,0.2441,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-arx22-launcher,1,0.2000,0.2441,0.2000,0.2441,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-arx22-web,1,0.2000,0.2441,0.2000,0.2441,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-ui-mpp,1,0.2000,0.2441,0.2000,0.2441,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-ui-pulse,1,0.2000,0.2441,0.2000,0.2441,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-ui-sdk-ui,1,0.2000,0.2441,0.2000,0.2441,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-ui-sdk-ui-manager,1,0.2000,0.2441,0.2000,0.2441,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-apim,1,0.2000,0.1250,0.2000,0.1250,SHARED
bab-dev-cp4i,Deployment/ibm-integration-platform-navigator-operator,1,0.2000,1.0000,0.2000,1.0000,SHARED
bab-dev-cp4i,Deployment/operand-deployment-lifecycle-manager,1,0.2000,0.1953,0.2000,0.1953,SHARED
bab-dev-rpa-apps-01,Deployment/du-frontend,2,0.1000,0.1000,0.2000,0.2000,SHARED
bab-dev-rpa-apps-01,Deployment/du-provisioning,2,0.1000,0.1250,0.2000,0.2500,SHARED
bab-dev-rpa-apps-01,Deployment/platform-authorization-service,2,0.1000,0.5859,0.2000,1.1719,SHARED
bab-dev-rpa-apps-01,Deployment/platform-license-resource-manager,2,0.1000,0.7812,0.2000,1.5625,SHARED
bab-dev-rpa-apps-01,Deployment/platform-license-resource-manager-worker,2,0.1000,0.7812,0.2000,1.5625,SHARED
bab-dev-rpa-apps-01,Deployment/platform-resource-catalog-service,2,0.1000,0.7812,0.2000,1.5625,SHARED
bab-dev-rpa-apps-01,Deployment/robotube,2,0.1000,0.2441,0.2000,0.4883,SHARED
bab-dev-rpa-apps-01,Deployment/webhook-service,2,0.1000,0.6836,0.2000,1.3672,SHARED
cs-control,Deployment/ibm-common-service-webhook,1,0.2000,0.2500,0.2000,0.2500,SHARED
cs-control,Deployment/secretshare,1,0.2000,0.1953,0.2000,0.1953,SHARED
ibm-common-services,Deployment/secretshare,1,0.2000,0.1953,0.2000,0.1953,SHARED
openshift-image-registry,Deployment/image-registry,2,0.1000,0.2500,0.2000,0.5000,SHARED
openshift-ingress,Deployment/router-default,2,0.1000,0.2500,0.2000,0.5000,SHARED
rmbdev,Deployment/kony-fabric-apiportal,1,0.2000,0.0000,0.2000,0.0000,SHARED
openshift-cluster-csi-drivers,Deployment/azure-file-csi-driver-controller,2,0.0900,0.3223,0.1800,0.6445,SHARED
bab-dev-cp4i,StatefulSet/apic-dev-a7s-ingestion,1,0.1750,7.0000,0.1750,7.0000,SHARED
bab-dev-observe,Deployment/tempo-dev-tempo-distributor,1,0.1560,0.0990,0.1560,0.0990,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-pia,1,0.1500,0.0488,0.1500,0.0488,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-ropa,1,0.1500,0.0488,0.1500,0.0488,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/camunda-testing,1,0.1500,0.3906,0.1500,0.3906,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-frontend-app,1,0.1500,0.0977,0.1500,0.0977,SHARED
babamldev,Deployment/sas-insights,1,0.1500,0.4492,0.1500,0.4492,SHARED
babamldev,Deployment/sas-visual-analytics,1,0.1500,0.2441,0.1500,0.2441,SHARED
openshift-monitoring,StatefulSet/prometheus-k8s,2,0.0750,1.0781,0.1500,2.1562,SHARED
devops-gitops,Deployment/openshift-gitops-server,1,0.1250,0.1250,0.1250,0.1250,SHARED
openshift-gitops,Deployment/openshift-gitops-server,1,0.1250,0.1250,0.1250,0.1250,SHARED
uipath-argocd,Deployment/argocd-server,1,0.1250,0.1758,0.1250,0.1758,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-taskmanager,1,0.1200,0.5000,0.1200,0.5000,SHARED
istio-dev,Deployment/prometheus,1,0.1200,0.2988,0.1200,0.2988,SHARED
openshift-opentelemetry-operator,Deployment/opentelemetry-operator-controller-manager,1,0.1050,0.1250,0.1050,0.1250,SHARED
bab-dev-cp4i,Deployment/apic-dev-a7s-mtls-gw,1,0.1000,0.1250,0.1000,0.1250,SHARED
bab-dev-cp4i,Deployment/db-01-dev-dash,1,0.1000,0.1709,0.1000,0.1709,SHARED
bab-dev-cp4i,Deployment/ibm-appconnect-operator,1,0.1000,0.1250,0.1000,0.1250,SHARED
bab-dev-cp4i,Deployment/ibm-common-service-operator,1,0.1000,0.1953,0.1000,0.1953,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/data-retention-ui-service,1,0.1000,0.2500,0.1000,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/data-retention-web-gateway,1,0.1000,0.2500,0.1000,0.2500,SHARED
bab-dev-rpa-apps-01,Deployment/identity-service-web,2,0.0500,0.0488,0.1000,0.0977,SHARED
babamldev,Deployment/sas-analytics-events,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-analytics-execution,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-analytics-resources,1,0.1000,0.2930,0.1000,0.2930,SHARED
babamldev,Deployment/sas-annotations,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-app-registry,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-audit,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-batch,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-chromium-server,1,0.1000,0.4004,0.1000,0.4004,SHARED
babamldev,Deployment/sas-collaboration,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-compute,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-connect,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-content,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-data-flows,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-data-mining-models,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-data-mining-project-resources,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-data-mining-results,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-data-quality-services,1,0.1000,0.0977,0.1000,0.0977,SHARED
babamldev,Deployment/sas-data-sources,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-deployment-data,1,0.1000,0.0879,0.1000,0.0879,SHARED
