"SubscriptionId","VMName","ResourceGroup","OS","ExtensionPresent","ExtensionType","ProvisioningState","ExtensionVersion"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZRCRMWBWV01","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZRCRMWBWV02","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACTXAPGUDLV01","BAB-DEV-CRTXUP-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACTXAPSWDLV01","BAB-DEV-CRTXUP-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACTXDBORDLV01","BAB-DEV-CRTXUP-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAISTAPGUDLV01","BAB-DEV-CRTXUP-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAISTAPSWDLV01","BAB-DEV-CRTXUP-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACRMADOAGDWV01","BAB-DEV-DEVOPS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DADEXAPIIDWV01","BAB-DEV-DEX-UPG-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DADEXIXOAPDWV01","BAB-DEV-DEX-UPG-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
